ticker,security,upright_company_name,industry,revenue_musd,employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,largest_cost,largest_benefit,upright_url
WMT,WALMART,WALMART,Retail,648125.0,2100000.0,-20.0,77.0,-15.2,0.9,-7.1,0.6,-2.2,-0.4,12.5,-5.3,6.5,-3.6,0.3,GHG emissions 110M tons of GHG emissions,Taxes 597M days of primary education,https://uprightplatform.com/company/d093d98d-7c71-4597-8233-ac1ab7a1e8fc/Walmart/
AMZN,AMAZON,AMAZON,Retail,742776.0,1575000.0,-5.0,69.0,-8.8,0.6,-4.0,0.4,-1.0,-0.4,11.1,-2.4,2.3,-5.0,2.0,Scarce human capital 508k scarce worker years,Taxes 646M days of primary education,https://uprightplatform.com/company/5f9171f9-3030-4773-94eb-853601d02f99/Amazon/
UNH,UNITEDHEALTH,UNITEDHEALTH,Insurance,400278.0,400000.0,57.0,15.0,-1.8,0.0,-0.6,,-0.2,-1.0,9.2,-0.9,9.7,-5.2,1.9,Scarce human capital 343k scarce worker years,Physical diseases 2.13M life years,https://uprightplatform.com/company/624a39cb-b949-46aa-a5a7-9b16cbd95feb/UnitedHealth/
AAPL,APPLE,APPLE,Consumer Product Manufacturing,416161.0,166000.0,20.0,50.0,-7.5,0.5,-2.7,0.3,-0.7,-0.6,9.4,-4.3,3.2,-4.3,7.8,Scarce human capital 273k scarce worker years,Taxes 345M days of primary education,https://uprightplatform.com/company/d1df56f3-4ce3-4167-a713-c6aeba7e26f1/Apple/
CVS,CVS HEALTH,CVS HEALTH,Hospitals and Healthcare,372809.0,300000.0,56.0,16.0,-4.6,0.2,-1.9,0.1,-0.7,-1.1,11.7,-2.4,17.2,-5.3,0.9,Scarce human capital 322k scarce worker years,Physical diseases 4.28M life years,https://uprightplatform.com/company/a31e688e-36ab-4f7c-9c89-c80b03c605d3/CVS%20Health/
GOOGL,ALPHABET,ALPHABET,Computer Software,350018.0,187103.0,52.0,20.0,-4.0,0.1,-1.5,0.1,-0.2,-0.3,9.0,-3.3,1.4,-6.2,18.1,Scarce human capital 326k scarce worker years,Distributing knowledge 95.1k days of BBC news,https://uprightplatform.com/company/c4c9afcf-6eff-4af6-a659-350c0fc469a2/Alphabet/
GOOG,ALPHABET,ALPHABET,Computer Software,350018.0,187103.0,52.0,20.0,-4.0,0.1,-1.5,0.1,-0.2,-0.3,9.0,-3.3,1.4,-6.2,18.1,Scarce human capital 326k scarce worker years,Distributing knowledge 95.1k days of BBC news,https://uprightplatform.com/company/c4c9afcf-6eff-4af6-a659-350c0fc469a2/Alphabet/
COR,"CENCORA, INC","CENCORA, INC",Pharmaceuticals and Biotechnology,325777.78,51000.0,37.0,35.0,-7.5,0.3,-3.4,0.1,-1.1,-0.5,10.4,-2.2,11.3,-4.4,1.0,Scarce human capital 234k scarce worker years,Physical diseases 2.53M life years,https://uprightplatform.com/company/69f5685c-206e-4bc2-8313-ad3df05bba84/Cencora%2C%20Inc/
JPM,JPMORGAN CHASE,JPMORGAN CHASE,Banks,,,-5.0,,,,,,,,,,,,,Scarce human capital 268k scarce worker years,Societal infrastructure 253M long-haul train rides,https://uprightplatform.com/company/ff302c8b-a4be-41ac-8380-1f08da896f27/JPMorgan%20Chase/
CI,CIGNA,CIGNA,Insurance,247121.0,73500.0,60.0,12.0,-5.1,0.7,-2.2,0.7,-1.2,-1.4,13.2,-2.1,17.2,-4.9,2.8,Scarce human capital 199k scarce worker years,Physical diseases 2.71M life years,https://uprightplatform.com/company/43769174-532f-4aad-84a6-2745984ced39/Cigna/
MSFT,MICROSOFT,MICROSOFT,Computer Software,245122.0,221000.0,35.0,37.0,-3.7,0.3,-1.7,0.2,-0.3,-0.3,10.9,-1.9,2.3,-6.0,4.7,Scarce human capital 239k scarce worker years,Taxes 274M days of primary education,https://uprightplatform.com/company/7f880866-d248-44aa-beac-dd2256fe8b8c/Microsoft/
CAH,CARDINAL HEALTH,CARDINAL HEALTH,Hospitals and Healthcare,226827.0,57700.0,52.0,19.0,-7.7,0.2,-3.3,0.1,-1.0,-0.5,8.5,-2.4,19.2,-2.9,0.0,GHG emissions 18.1M tons of GHG emissions,Physical diseases 3.33M life years,https://uprightplatform.com/company/9c57667c-eb1a-4a97-9b84-aa3e644dcd41/Cardinal%20Health/
CVX,CHEVRON,CHEVRON,Energy and Environmental,202792.0,45298.0,-105.0,96.0,-32.7,0.9,-18.4,0.6,-6.1,-1.9,19.2,-6.6,0.8,-2.4,0.4,GHG emissions 89.3M tons of GHG emissions,Societal infrastructure 753M long-haul train rides,https://uprightplatform.com/company/704b2a91-d3b8-4a43-849f-2ba799575be5/Chevron/
BAC,BANK OF AMERICA,BANK OF AMERICA,Banks,192434.0,213000.0,1.0,65.0,-2.1,0.1,-1.1,0.1,-0.3,-0.6,6.7,-0.3,0.5,-6.2,2.0,Scarce human capital 197k scarce worker years,Taxes 100M days of primary education,https://uprightplatform.com/company/08fb13a2-68f4-489a-a868-ee9eeb38db11/Bank%20of%20America/
GM,GENERAL MOTORS,GENERAL MOTORS,Automotive,187442.0,162000.0,-51.0,87.0,-23.8,2.2,-13.1,1.5,-5.0,-0.4,17.7,-6.9,2.0,-2.3,0.2,GHG emissions 58.8M tons of GHG emissions,Societal infrastructure 539M long-haul train rides,https://uprightplatform.com/company/459d1070-384a-4a27-833a-373e21266373/General%20Motors/
F,FORD MOTOR,FORD MOTOR,Automotive,184992.0,171000.0,-41.0,85.0,-23.5,2.2,-12.7,1.5,-4.7,-0.4,18.7,-6.6,2.0,-2.5,0.4,GHG emissions 56.1M tons of GHG emissions,Societal infrastructure 573M long-haul train rides,https://uprightplatform.com/company/25f9dcfa-1830-406a-a2b6-17bde5e74da9/Ford%20Motor/
ELV,ELEVANCE HEALTH,ELEVANCE HEALTH,Insurance,177011.0,96129.0,51.0,20.0,-3.0,0.1,-1.2,0.1,-0.5,-1.1,10.5,-1.2,9.5,-4.9,0.9,Scarce human capital 142k scarce worker years,Physical diseases 993k life years,https://uprightplatform.com/company/cc9136fb-958d-4a6b-a1d1-f62afbdbc372/Elevance%20Health/
C,CITIGROUP,CITIGROUP,Financial Services,170757.0,239000.0,16.0,53.0,-1.8,0.2,-0.9,0.1,-0.2,-0.3,7.4,-0.2,0.6,-5.5,1.2,Scarce human capital 155k scarce worker years,Societal infrastructure 186M long-haul train rides,https://uprightplatform.com/company/db6cbfea-3c91-43b7-9638-3fcefd683956/Citigroup/
CNC,CENTENE,CENTENE,Hospitals and Healthcare,163071.0,61100.0,42.0,29.0,-1.9,0.1,-0.8,0.0,-0.3,-1.4,9.9,-0.7,5.0,-4.8,0.2,Scarce human capital 128k scarce worker years,Jobs 833k direct or indirect jobs,https://uprightplatform.com/company/ed622de1-68bc-4cbf-ae57-54f656cb1edc/Centene/
HD,HOME DEPOT,HOME DEPOT,Retail,159514.0,470000.0,-34.0,82.0,-14.9,1.2,-7.6,0.7,-2.2,-0.3,12.9,-2.3,1.5,-3.5,0.1,GHG emissions 29.2M tons of GHG emissions,Taxes 148M days of primary education,https://uprightplatform.com/company/4929d60a-46d9-4f36-affd-02d6e2b65a6d/Home%20Depot/
KR,KROGER,KROGER,Retail,147225.0,409000.0,-24.0,79.0,-14.9,0.9,-7.0,0.6,-2.2,-0.6,14.4,-6.9,5.3,-4.0,0.7,GHG emissions 24.8M tons of GHG emissions,Taxes 150M days of primary education,https://uprightplatform.com/company/78452f07-a1e1-470d-a1db-b4b60ea2d3c8/Kroger/
PSX,PHILLIPS 66,PHILLIPS 66,Energy and Environmental,145496.0,14000.0,-83.0,93.0,-27.2,1.7,-15.1,1.1,-4.9,-0.9,17.0,-4.6,0.8,-3.1,0.1,GHG emissions 52.6M tons of GHG emissions,Societal infrastructure 407M long-haul train rides,https://uprightplatform.com/company/abfe467a-546a-4c51-b9ef-02cb426ec2f9/Phillips%2066/
MPC,MARATHON PETROLEUM,MARATHON PETROLEUM,Energy and Environmental,140412.0,18300.0,-104.0,96.0,-31.4,1.5,-17.0,1.1,-6.0,-1.3,18.0,-6.4,0.7,-2.2,0.1,GHG emissions 57.4M tons of GHG emissions,Societal infrastructure 494M long-haul train rides,https://uprightplatform.com/company/12adabe6-714a-4572-9ea5-02b1e8870d6e/Marathon%20Petroleum/
VZ,VERIZON COMMUNICATIONS,VERIZON COMMUNICATIONS,Telecommunications,134788.0,99600.0,38.0,34.0,-5.6,0.4,-2.5,0.3,-0.5,-0.4,10.8,-4.5,4.6,-4.4,8.1,Scarce human capital 97.8k scarce worker years,Taxes 137M days of primary education,https://uprightplatform.com/company/3509b043-ed83-4121-bfae-8f2de5b94f8f/Verizon%20Communications/
NVDA,NVIDIA,NVIDIA,Computer Software,130497.0,36000.0,14.0,55.0,-7.0,0.4,-3.1,0.3,-0.9,-0.4,8.2,-1.6,1.2,-3.9,5.2,Scarce human capital 84.5k scarce worker years,Taxes 109M days of primary education,https://uprightplatform.com/company/51da69d1-738a-4304-8a11-102f4e2c3b21/Nvidia/
GS,GOLDMAN SACHS,GOLDMAN SACHS,Financial Services,126853.0,45300.0,-23.0,78.0,-1.9,0.1,-1.0,0.1,-0.2,-0.7,5.6,-0.3,0.9,-6.3,0.9,Scarce human capital 131k scarce worker years,Taxes 57.8M days of primary education,https://uprightplatform.com/company/b27d9528-b2f0-4898-9199-7645f344bf58/Goldman%20Sachs/
VLO,VALERO ENERGY,VALERO ENERGY,Energy and Environmental,123974.0,9908.0,-124.0,97.0,-29.3,0.9,-16.5,0.6,-5.2,-1.2,15.0,-5.9,1.3,-2.3,0.0,GHG emissions 49.1M tons of GHG emissions,Societal infrastructure 328M long-haul train rides,https://uprightplatform.com/company/76dfa3d7-e2bd-40a4-833b-95809cf82ccb/Valero%20Energy/
CMCSA,COMCAST,COMCAST,Telecommunications,123731.0,182000.0,37.0,35.0,-4.9,0.4,-2.4,0.3,-0.5,-0.2,12.1,-4.5,3.9,-4.5,6.1,Scarce human capital 90.9k scarce worker years,Taxes 132M days of primary education,https://uprightplatform.com/company/89f6d844-6307-49dd-a145-1ad5714daa13/Comcast/
T,AT&T,AT&T,Telecommunications,122336.0,139970.0,35.0,37.0,-6.4,0.5,-3.1,0.4,-0.7,-0.4,11.9,-4.0,4.3,-5.0,7.4,Scarce human capital 101k scarce worker years,Taxes 139M days of primary education,https://uprightplatform.com/company/c8661ed0-239f-4a06-ac8e-0feb0879c27a/AT%26T/
HUM,HUMANA,HUMANA,Insurance,117761.0,65680.0,33.0,38.0,-5.6,0.2,-2.5,0.2,-0.8,-1.1,9.0,-2.2,10.9,-4.6,0.1,Scarce human capital 87.8k scarce worker years,Physical diseases 817k life years,https://uprightplatform.com/company/2d84c046-a8c6-49f2-a398-24ff727ced28/Humana/
MS,MORGAN STANLEY,MORGAN STANLEY,Financial Services,107285.0,80000.0,-5.0,69.0,-2.1,0.1,-1.1,0.1,-0.3,-0.4,5.2,-0.3,0.8,-6.3,2.6,Scarce human capital 112k scarce worker years,Taxes 45.8M days of primary education,https://uprightplatform.com/company/17ea051d-d7ce-49bf-a840-9d1bc9406a48/Morgan%20Stanley/
TGT,TARGET,TARGET,Retail,106566.0,440000.0,-22.0,78.0,-14.6,0.8,-7.0,0.5,-2.1,-0.5,13.1,-3.3,3.9,-3.5,0.2,GHG emissions 18.0M tons of GHG emissions,Taxes 97.2M days of primary education,https://uprightplatform.com/company/770e928b-1477-4604-a251-4099b38ce486/Target/
TSLA,TESLA,TESLA,Automotive,94827.0,134785.0,54.0,17.0,-11.1,8.9,-4.7,6.6,-2.2,-0.4,24.1,-2.2,3.0,-2.9,0.4,GHG emissions 10.9M tons of GHG emissions,Societal infrastructure 392M long-haul train rides,https://uprightplatform.com/company/cac88d31-47c6-4728-9fd4-c2a726ddea39/Tesla/
PEP,PEPSICO,PEPSICO,Food and Beverage,91854.0,318000.0,-110.0,96.0,-15.4,0.4,-4.8,0.3,-2.5,-0.2,6.6,-11.1,6.5,-1.6,0.1,Physical diseases 792k life years,Taxes 56.3M days of primary education,https://uprightplatform.com/company/640d09ec-d35b-4560-b3df-59896905e599/PepsiCo/
DIS,WALT DISNEY,WALT DISNEY,Media,91361.0,233000.0,19.0,51.0,-6.9,0.2,-2.9,0.2,-0.8,-0.3,10.9,-4.4,6.7,-3.3,0.5,Scarce human capital 48.7k scarce worker years,Taxes 84.7M days of primary education,https://uprightplatform.com/company/3edfe7da-4942-405f-b22c-eb3d643ad3ba/Walt%20Disney/
UPS,UNITED PARCEL SERVICE,UNITED PARCEL SERVICE,Consumer Services,91070.0,490000.0,-59.0,89.0,-23.9,1.7,-12.0,1.3,-5.8,-0.7,13.9,-3.4,2.4,-2.5,1.1,GHG emissions 26.2M tons of GHG emissions,Taxes 94.4M days of primary education,https://uprightplatform.com/company/1fd34172-70b0-443e-9d18-f34a4bc32303/United%20Parcel%20Service/
ADM,ARCHER DANIELS MIDLAND,ARCHER DANIELS MIDLAND,Agriculture and Forestry,85530.0,42383.0,1.0,66.0,-11.9,1.5,-5.4,1.1,-2.0,-0.4,10.4,-3.9,6.3,-2.8,0.8,GHG emissions 11.0M tons of GHG emissions,Nutrition 17.3bn bananas,https://uprightplatform.com/company/e884287f-b5da-4a64-9ea3-f59af33b3e1b/Archer%20Daniels%20Midland/
PG,PROCTER & GAMBLE,PROCTER & GAMBLE,Consumer Product Manufacturing,84039.0,109000.0,-21.0,77.0,-13.9,1.7,-6.6,0.6,-2.3,-0.5,7.2,-3.2,7.4,-2.3,0.1,GHG emissions 13.3M tons of GHG emissions,Physical diseases 346k life years,https://uprightplatform.com/company/e9d6e413-4f70-4b0d-8882-28a8d71eaf9d/Procter%20%26%20Gamble/
LOW,LOWE'S,LOWE'S,Retail,83674.0,161000.0,-44.0,86.0,-15.7,1.1,-8.2,0.8,-2.2,-0.3,12.9,-2.4,1.0,-3.5,0.1,GHG emissions 16.4M tons of GHG emissions,Taxes 75.1M days of primary education,https://uprightplatform.com/company/7f570a31-ad07-41a2-98c6-e1ca76df38be/Lowe's/
SYY,SYSCO,SYSCO,Food and Beverage,78844.0,75000.0,-5.0,69.0,-13.3,0.5,-5.4,0.3,-1.6,-0.1,8.9,-3.6,8.8,-2.0,0.0,GHG emissions 10.2M tons of GHG emissions,Nutrition 27.6bn bananas,https://uprightplatform.com/company/1eb33464-7f56-4b6d-a709-fa56da22bd6f/Sysco/
PGR,PROGRESSIVE,PROGRESSIVE,Insurance,75372.0,66300.0,-64.0,90.0,-9.1,0.8,-4.5,0.6,-1.9,-1.1,7.3,-2.4,1.9,-3.9,0.0,GHG emissions 8.20M tons of GHG emissions,Societal infrastructure 69.1M long-haul train rides,https://uprightplatform.com/company/87272392-b279-4c12-a789-4c006014132f/Progressive/
AXP,AMERICAN EXPRESS,AMERICAN EXPRESS,Financial Services,74201.0,75100.0,10.0,59.0,-2.5,0.1,-1.2,0.1,-0.3,-0.2,8.0,-0.3,0.4,-4.8,0.2,Scarce human capital 58.9k scarce worker years,Societal infrastructure 75.9M long-haul train rides,https://uprightplatform.com/company/ca42e102-6df6-46ce-b1dd-462f01a8c980/American%20Express/
MET,METLIFE,METLIFE,Insurance,70986.0,45000.0,20.0,50.0,-1.5,0.1,-0.7,0.1,-0.2,-1.3,7.1,-0.4,3.0,-4.9,0.1,Scarce human capital 57.6k scarce worker years,Societal infrastructure 63.0M long-haul train rides,https://uprightplatform.com/company/283328d5-6c84-4d45-85ab-a763d9078d85/MetLife/
PRU,PRUDENTIAL FINANCIAL,PRUDENTIAL FINANCIAL,Insurance,70405.0,38196.0,13.0,56.0,-1.5,0.2,-0.7,0.1,-0.2,-1.0,6.4,-0.4,2.2,-5.3,0.7,Scarce human capital 61.4k scarce worker years,Societal infrastructure 64.0M long-haul train rides,https://uprightplatform.com/company/12faac26-5992-400d-838b-03e671613945/Prudential%20Financial/
MRK,MERCK & CO,MERCK & CO,Pharmaceuticals and Biotechnology,65011.0,72000.0,58.0,14.0,-9.5,0.3,-3.9,0.1,-1.8,-1.1,7.1,-6.1,41.2,-4.1,0.3,Physical diseases 316k life years,Physical diseases 2.05M life years,https://uprightplatform.com/company/e5d1f66c-f4bd-4b01-aff9-923df382e45e/Merck%20%26%20Co/
CAT,CATERPILLAR,CATERPILLAR,Construction and Building Materials,64809.0,113200.0,-29.0,80.0,-18.3,2.5,-9.9,1.5,-3.6,-0.3,14.7,-3.0,1.0,-2.2,0.3,GHG emissions 15.4M tons of GHG emissions,Societal infrastructure 153M long-haul train rides,https://uprightplatform.com/company/78b09433-547b-4f3c-8f5f-2107b656d786/Caterpillar/
ALL,ALLSTATE,ALLSTATE,Insurance,64106.0,55000.0,-16.0,75.0,-3.3,0.2,-1.8,0.1,-0.5,-1.4,6.5,-0.6,1.9,-4.8,0.1,Scarce human capital 50.3k scarce worker years,Societal infrastructure 51.8M long-haul train rides,https://uprightplatform.com/company/9970072d-ed7b-46ba-b3d9-6789ed06096d/Allstate/
PFE,PFIZER,PFIZER,Pharmaceuticals and Biotechnology,62580.0,75000.0,60.0,12.0,-8.8,0.2,-3.6,0.1,-1.8,-1.2,7.3,-5.6,40.8,-3.9,0.2,Physical diseases 284k life years,Physical diseases 2.22M life years,https://uprightplatform.com/company/f50c4614-23dd-483b-9017-752a82e67179/Pfizer/
CB,CHUBB,CHUBB,Insurance,57213.0,43000.0,-4.0,69.0,-3.1,0.2,-1.6,0.1,-0.4,-0.7,6.3,-0.5,1.9,-4.5,0.1,Scarce human capital 42.2k scarce worker years,Societal infrastructure 40.8M long-haul train rides,https://uprightplatform.com/company/7453a47e-3033-4b87-b41d-c7690747005f/Chubb/
COP,CONOCOPHILLIPS,CONOCOPHILLIPS,Energy and Environmental,56953.0,11800.0,-112.0,97.0,-32.6,0.7,-18.4,0.5,-5.7,-4.2,17.5,-4.3,0.4,-2.8,2.0,GHG emissions 25.1M tons of GHG emissions,Societal infrastructure 168M long-haul train rides,https://uprightplatform.com/company/40ff0fbd-fac1-4548-bbca-4ac3e68eb1f9/ConocoPhillips/
TJX,TJX COMPANIES,TJX COMPANIES,Retail,56360.0,364000.0,-48.0,87.0,-16.0,1.0,-7.6,0.6,-2.1,-1.1,12.5,-2.5,1.9,-3.5,0.2,GHG emissions 10.3M tons of GHG emissions,Taxes 53.9M days of primary education,https://uprightplatform.com/company/ae700c46-f731-4467-8547-a0c727fb9ab7/TJX%20companies/
ABBV,ABBVIE,ABBVIE,Pharmaceuticals and Biotechnology,56334.0,55000.0,34.0,38.0,-9.5,0.2,-4.0,0.1,-1.9,-1.1,7.1,-7.1,25.4,-3.9,0.0,Physical diseases 299k life years,Physical diseases 1.01M life years,https://uprightplatform.com/company/17a459b4-cef9-4524-ab8a-74b857ba320e/AbbVie/
CHTR,CHARTER COMMUNICATIONS,CHARTER COMMUNICATIONS,Telecommunications,55085.0,94500.0,38.0,34.0,-4.2,0.4,-2.1,0.3,-0.3,-0.3,11.9,-6.4,5.0,-4.5,7.3,Scarce human capital 40.3k scarce worker years,Taxes 57.1M days of primary education,https://uprightplatform.com/company/33d0a32b-fdff-4cb9-ae22-4a07be599d30/Charter%20Communications/
COF,CAPITAL ONE,CAPITAL ONE,Financial Services,53938.0,76500.0,31.0,41.0,-1.8,0.0,-1.0,0.0,-0.2,-0.1,8.8,-0.1,0.2,-4.4,0.1,Scarce human capital 38.6k scarce worker years,Societal infrastructure 80.9M long-haul train rides,https://uprightplatform.com/company/293f469c-9855-4f7a-be55-240411736a1e/Capital%20One/
HPQ,HP INC.,HP INC.,Computer Hardware,53559.0,58000.0,22.0,48.0,-7.9,0.7,-3.4,0.4,-0.9,-0.7,9.2,-2.6,1.7,-3.9,7.7,Scarce human capital 34.2k scarce worker years,Taxes 44.3M days of primary education,https://uprightplatform.com/company/811cacb6-0267-43d5-9c84-23409607a2b0/HP%20Inc./
TSN,TYSON FOODS,TYSON FOODS,Food and Beverage,53309.0,139000.0,-70.0,91.0,-25.9,0.4,-10.8,0.3,-3.1,-0.4,6.3,-11.4,16.1,-1.2,0.0,Physical diseases 489k life years,Nutrition 35.2bn bananas,https://uprightplatform.com/company/376411c8-193f-4425-8c82-4d669c156e26/Tyson%20Foods/
CSCO,CISCO SYSTEMS,CISCO SYSTEMS,Computer Hardware,53161.0,84900.0,45.0,26.0,-4.1,0.3,-1.9,0.2,-0.5,-0.3,10.7,-0.9,1.6,-5.2,6.7,Scarce human capital 45.5k scarce worker years,Taxes 52.5M days of primary education,https://uprightplatform.com/company/31d43c04-a2db-4499-97e8-c5a565c4a966/Cisco%20Systems/
INTC,INTEL,INTEL,Computer Hardware,52853.0,85100.0,14.0,55.0,-7.4,0.3,-3.3,0.3,-1.0,-0.4,7.6,-1.1,0.8,-2.6,4.6,GHG emissions 4.14M tons of GHG emissions,Knowledge infrastructure 13.4M personal computers,https://uprightplatform.com/company/f5b17b4b-ef15-4bf5-876c-3b164f4fb53f/Intel/
DE,JOHN DEERE,JOHN DEERE,Agriculture and Forestry,51716.0,75800.0,-31.0,81.0,-18.7,2.0,-9.1,1.4,-3.1,-0.3,11.3,-3.7,5.1,-1.9,0.3,GHG emissions 11.3M tons of GHG emissions,Taxes 37.5M days of primary education,https://uprightplatform.com/company/283dfdb7-ca25-4ca5-ac36-8898aeac2e73/John%20Deere/
NKE,NIKE,NIKE,Consumer Product Manufacturing,46513.0,77800.0,-22.0,68.0,-14.3,0.9,-7.5,0.6,-1.6,-1.6,8.8,-2.1,9.1,-1.3,0.1,GHG emissions 8.76M tons of GHG emissions,Physical diseases 204k life years,https://uprightplatform.com/company/53a9f70a-8e65-430e-bd73-356caeb57fc7/Nike/
KO,COCA-COLA COMPANY,COCA-COLA COMPANY,Food and Beverage,47061.0,69700.0,-227.0,100.0,-15.6,0.3,-5.8,0.2,-2.9,-0.1,6.3,-16.6,3.9,-1.8,0.0,Physical diseases 605k life years,Taxes 29.2M days of primary education,https://uprightplatform.com/company/542259b1-75ad-4c9b-88c1-24c3623d7155/Coca-Cola%20Company/
AIG,AMERICAN INTERNATIONAL GROUP,AMERICAN INTERNATIONAL GROUP,Insurance,46802.0,25200.0,-7.0,71.0,-2.7,0.2,-1.4,0.1,-0.5,-0.6,5.6,-0.6,1.5,-4.6,0.7,Scarce human capital 35.7k scarce worker years,Societal infrastructure 32.6M long-haul train rides,https://uprightplatform.com/company/ebb4e522-fed4-49d3-af07-219676214a5b/American%20International%20Group/
TRV,TRAVELERS,TRAVELERS,Financial Services,46423.0,34000.0,-13.0,73.0,-5.0,0.3,-2.7,0.2,-0.9,-0.5,7.8,-1.1,1.1,-4.1,0.3,Scarce human capital 31.1k scarce worker years,Societal infrastructure 41.4M long-haul train rides,https://uprightplatform.com/company/fc6c3a50-e4da-4d7d-8d31-0f861aa1ca08/Travelers/
NFLX,NETFLIX,NETFLIX,Media,45183.04,16000.0,4.0,64.0,-4.6,0.3,-2.2,0.2,-0.6,-0.2,9.2,-6.6,4.8,-3.4,1.0,Scarce human capital 25.2k scarce worker years,Taxes 38.9M days of primary education,https://uprightplatform.com/company/774d99c3-fa3e-4cda-99e7-faa8ec9bccc9/Netflix/
LLY,ELI LILLY,ELI LILLY,Pharmaceuticals and Biotechnology,45043.0,47000.0,45.0,26.0,-8.8,0.2,-3.7,0.1,-1.8,-1.3,6.8,-5.0,27.9,-4.0,0.0,Physical diseases 177k life years,Physical diseases 904k life years,https://uprightplatform.com/company/926e79ad-81e3-453c-821b-072045d235f1/Eli%20Lilly/
BMY,BRISTOL-MYERS SQUIBB,BRISTOL-MYERS SQUIBB,Pharmaceuticals and Biotechnology,45006.0,34100.0,40.0,32.0,-9.4,0.2,-3.9,0.1,-1.9,-1.2,6.7,-7.3,29.7,-4.2,0.0,Physical diseases 263k life years,Physical diseases 1.00M life years,https://uprightplatform.com/company/4a06a7c7-e370-4dca-9295-583006daafde/Bristol-Myers%20Squibb/
QCOM,QUALCOMM,QUALCOMM,Media,44867.0,52000.0,21.0,50.0,-6.5,0.4,-2.9,0.3,-0.8,-0.4,9.4,-2.3,1.3,-4.3,5.9,Scarce human capital 31.6k scarce worker years,Taxes 39.4M days of primary education,https://uprightplatform.com/company/3ddd740a-c6d1-4f91-800a-1e78297b443f/Qualcomm/
DOW,DOW,DOW,Chemicals,42964.0,35900.0,-127.0,98.0,-20.0,0.9,-10.5,0.6,-3.2,-0.8,7.8,-3.4,2.7,-2.3,0.3,GHG emissions 10.8M tons of GHG emissions,Taxes 28.8M days of primary education,https://uprightplatform.com/company/157c9128-c0f4-4d26-bc0b-a9965ccec60a/Dow/
TMO,THERMO FISHER SCIENTIFIC,THERMO FISHER SCIENTIFIC,Hospitals and Healthcare,42879.0,125000.0,49.0,22.0,-7.4,0.2,-3.3,0.1,-0.9,-0.7,12.0,-1.5,11.3,-4.0,3.3,Scarce human capital 28.5k scarce worker years,Physical diseases 328k life years,https://uprightplatform.com/company/7c214549-9d26-4848-8a3b-9f894757142e/Thermo%20Fisher%20Scientific/
ABT,ABBOTT LABORATORIES,ABBOTT LABORATORIES,Pharmaceuticals and Biotechnology,41950.0,114000.0,55.0,16.0,-7.4,0.4,-3.1,0.2,-1.1,-0.5,8.5,-2.6,20.4,-3.1,1.0,GHG emissions 3.13M tons of GHG emissions,Physical diseases 457k life years,https://uprightplatform.com/company/bae297bf-d5af-4d2c-95cd-a2840722dec4/Abbott%20Laboratories/
BBY,BEST BUY,BEST BUY,Retail,41528.0,85000.0,-25.0,79.0,-13.3,0.8,-6.0,0.6,-1.7,-0.6,12.6,-3.5,2.6,-4.9,1.8,GHG emissions 6.02M tons of GHG emissions,Taxes 44.7M days of primary education,https://uprightplatform.com/company/8765771b-f4ee-4a48-a191-88a98e4c49ac/Best%20Buy/
LYB,LYONDELLBASELL INDUSTRIES,LYONDELLBASELL INDUSTRIES,Chemicals,40734.0,18970.0,-132.0,98.0,-20.9,0.7,-10.9,0.5,-3.6,-0.8,9.5,-4.4,1.6,-2.2,0.4,GHG emissions 10.7M tons of GHG emissions,Societal infrastructure 42.9M long-haul train rides,https://uprightplatform.com/company/2c6e53da-9b61-47e5-96c4-6aceeb2688ef/LyondellBasell%20Industries/
DG,DOLLAR GENERAL,DOLLAR GENERAL,Retail,40612.0,194200.0,-70.0,91.0,-14.9,0.9,-6.9,0.6,-2.2,-0.8,11.8,-12.8,6.0,-3.6,0.2,Physical diseases 303k life years,Taxes 42.4M days of primary education,https://uprightplatform.com/company/b0bba363-48ba-4fc0-9491-097e5ffe6d4e/Dollar%20General/
WBD,WARNER BROS. DISCOVERY,WARNER BROS. DISCOVERY,Media,39321.0,35000.0,9.0,60.0,-3.8,0.2,-1.8,0.1,-0.4,-0.2,9.1,-6.2,4.9,-3.4,0.8,Scarce human capital 21.6k scarce worker years,Taxes 33.1M days of primary education,https://uprightplatform.com/company/99ef7c3d-5b55-4c21-898d-89d94cde4508/Warner%20Bros.%20Discovery/
CRM,SALESFORCE,SALESFORCE,Computer Software,37895.0,83334.0,35.0,37.0,-5.5,0.4,-2.8,0.3,-0.7,-0.4,13.3,-1.4,2.4,-6.1,4.6,Scarce human capital 38.1k scarce worker years,Taxes 43.9M days of primary education,https://uprightplatform.com/company/71233f77-d7e1-4403-94ac-2bf4ab356b86/Salesforce/
